sim_time,trial,phase,gripper_open,ik_status,wrist_x,wrist_y,wrist_z,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,j7_rad,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j7_deg,obstacle_hits
233.5,7,carry,0,ok,0.68771,-0.1438,1.0272,1.396264,-2.147357,-0.946243,0.724393,0.425203,1.262722,1.400888,80.0,-123.0345,-54.2157,41.5047,24.3623,72.3486,80.265,0
233.55,7,carry,0,ok,0.69112,-0.14327,1.02779,1.396264,-2.125363,-0.950318,0.715248,0.440735,1.265514,1.385127,80.0,-121.7744,-54.4492,40.9807,25.2523,72.5086,79.3619,0
233.6,7,carry,0,ok,0.69499,-0.14308,1.02926,1.396264,-2.100684,-0.952243,0.706823,0.459644,1.266441,1.368688,80.0,-120.3603,-54.5595,40.498,26.3357,72.5617,78.42,0
233.65,7,carry,0,ok,0.69961,-0.143,1.03185,1.396264,-2.071265,-0.952545,0.698932,0.483438,1.265292,1.349646,80.0,-118.6747,-54.5768,40.0458,27.6989,72.4959,77.329,0
233.7,7,carry,0,ok,0.70448,-0.14294,1.03565,1.396264,-2.039914,-0.950728,0.693322,0.510227,1.261249,1.329618,80.0,-116.8785,-54.4727,39.7244,29.2339,72.2642,76.1815,0
233.75,7,carry,0,ok,0.70944,-0.1429,1.04022,1.396264,-2.007853,-0.947224,0.689131,0.538713,1.255579,1.309428,80.0,-115.0415,-54.2719,39.4843,30.866,71.9394,75.0247,0
233.8,7,carry,0,ok,0.71443,-0.14288,1.04504,1.396264,-1.975735,-0.942808,0.684943,0.567806,1.249926,1.289653,80.0,-113.2013,-54.0189,39.2443,32.5329,71.6155,73.8917,0
233.85,7,carry,0,ok,0.71944,-0.14287,1.04993,1.396264,-1.943818,-0.937818,0.680295,0.597047,1.2448,1.270535,80.0,-111.3726,-53.733,38.978,34.2082,71.3218,72.7963,0
233.9,7,carry,0,ok,0.72446,-0.14287,1.05484,1.396264,-1.912192,-0.932388,0.675042,0.62622,1.24034,1.252187,80.0,-109.5606,-53.4219,38.6771,35.8797,71.0663,71.745,0
233.95,7,place,0,ok,0.72949,-0.14287,1.05976,1.396264,-1.880899,-0.926587,0.669141,0.655204,1.236556,1.234675,80.0,-107.7676,-53.0895,38.339,37.5404,70.8494,70.7417,0
234.0,7,place,0,ok,0.73451,-0.14287,1.06467,1.396264,-1.849958,-0.92046,0.662581,0.683917,1.233414,1.218043,80.0,-105.9948,-52.7385,37.9631,39.1856,70.6694,69.7887,0
234.05,7,place,0,ok,0.73833,-0.14288,1.06958,1.396264,-1.825728,-0.913144,0.659946,0.707983,1.227888,1.204967,80.0,-104.6065,-52.3193,37.8121,40.5645,70.3528,69.0396,0
234.1,7,place,0,ok,0.73967,-0.14289,1.07447,1.396264,-1.814517,-0.903759,0.666392,0.723353,1.21644,1.197327,80.0,-103.9642,-51.7816,38.1814,41.4451,69.6969,68.6018,0
234.15,7,place,0,ok,0.74015,-0.1429,1.07938,1.396264,-1.807595,-0.893583,0.676038,0.736175,1.202876,1.191064,80.0,-103.5675,-51.1985,38.7341,42.1797,68.9197,68.243,0
234.2,7,place,0,ok,0.74034,-0.14291,1.08434,1.396264,-1.801802,-0.883035,0.686603,0.748548,1.188716,1.184981,80.0,-103.2357,-50.5942,39.3395,42.8887,68.1084,67.8944,0
234.25,7,place,0,ok,0.74043,-0.14292,1.08933,1.396264,-1.796126,-0.87228,0.697274,0.761144,1.1745,1.17872,80.0,-102.9104,-49.978,39.9509,43.6103,67.2939,67.5357,0
234.3,7,place,0,ok,0.74049,-0.14293,1.09432,1.396264,-1.790244,-0.861371,0.70776,0.774171,1.160419,1.172178,80.0,-102.5734,-49.3529,40.5517,44.3567,66.4871,67.1609,0
234.35,7,place,0,ok,0.74053,-0.14293,1.09932,1.396264,-1.78406,-0.850324,0.717957,0.78769,1.146539,1.16533,80.0,-102.2191,-48.72,41.1359,45.1313,65.6919,66.7685,0
234.4,7,place,0,ok,0.74057,-0.1423,1.10432,1.396264,-1.776072,-0.841118,0.728343,0.802441,1.133429,1.15527,80.0,-101.7614,-48.1925,41.731,45.9765,64.9407,66.1921,0
234.45,7,place,0,ok,0.7406,-0.1405,1.10932,1.396264,-1.765138,-0.835232,0.73929,0.819014,1.121556,1.139825,80.0,-101.1349,-47.8553,42.3582,46.926,64.2604,65.3072,0
234.5,7,place,0,ok,0.74063,-0.13777,1.11402,1.396264,-1.751997,-0.832653,0.750059,0.836455,1.11166,1.12027,80.0,-100.382,-47.7075,42.9752,47.9254,63.6934,64.1868,0
234.55,7,place,0,ok,0.74067,-0.13452,1.11797,1.396264,-1.738114,-0.833371,0.759519,0.85292,1.104752,1.098964,80.0,-99.5866,-47.7487,43.5172,48.8687,63.2976,62.966,0
234.6,7,place,0,ok,0.74103,-0.13017,1.12099,1.396264,-1.720915,-0.839634,0.766492,0.869328,1.102711,1.073427,80.0,-98.6012,-48.1075,43.9168,49.8088,63.1807,61.5028,0
234.65,7,place,0,ok,0.74192,-0.12554,1.12316,1.396264,-1.70123,-0.848859,0.769729,0.885294,1.105076,1.047268,80.0,-97.4733,-48.636,44.1022,50.7236,63.3162,60.004,0
